year,month,day,data,median,LB,UB
2022,9,15,110,110,110,110
2022,9,22,27,39.8398484202398,2.85814750880508,77.424654628416
2022,9,29,29,36.6439084704055,0.721539268591686,72.6264125652886
2022,10,6,44,30.5912800684268,-0,65.9351446935465
2022,10,13,41,23.2511412846983,-0,59.5815336219542
2022,10,20,10,17.4053199791901,-0,51.8128618814409
2022,10,27,0,12.7883133708384,-0,46.5589649626346
2022,11,3,3,10.233153191091,-0,45.550103100457
2022,11,10,5,8.13790723135123,-0,43.0419014249576
2022,11,17,2,6.39239374620978,-0,42.3032296297997
2022,11,24,NaN,5.9381501542707,-0,45.1422691910402
2022,12,1,NaN,5.06013156796244,-0,46.9919930666101
2022,12,8,NaN,4.09871588823578,-0,52.1693908579171
2022,12,15,NaN,4.04901706457478,-0,57.9050476725583
