fcst$mean,lower.10%,lower.20%,lower.30%,lower.40%,lower.50%,lower.60%,lower.70%,lower.80%,lower.90%,fcst$lower.95%,lower.98%,upper.10%,upper.20%,upper.30%,upper.40%,upper.50%,upper.60%,upper.70%,upper.80%,upper.90%,fcst$upper.95%,upper.98%
200,130.464122135603,59.8080184412851,0,0,0,0,0,0,0,0,0,269.535877864397,340.191981558715,413.220672556299,490.181912865764,573.235191761186,665.718956309646,773.520079086382,909.15850712162,1110.19508998594,1284.56434423527,1487.30628540826
200,101.66141845265,1.7385983437066,0,0,0,0,0,0,0,0,0,298.33858154735,398.261401656293,501.53956690743,610.379196730131,727.834270143593,858.626064267344,1011.07987413725,1202.90157864365,1487.21024066351,1733.8056048838,2020.52600775249
200,79.5603265899599,0,0,0,0,0,0,0,0,0,0,320.43967341004,442.819634873453,569.309038091516,702.609816521027,846.462315303088,1006.64889437626,1193.36591613853,1428.29856495434,1776.50414065537,2078.52054829311,2429.67989122986
200,60.9282442712055,0,0,0,0,0,0,0,0,0,0,339.071755728795,480.38396311743,626.441345112597,780.363825731527,946.470383522373,1131.43791261929,1347.04015817276,1618.31701424324,2020.39017997188,2369.12868847054,2774.61257081652
