year,month,day,data,median,LB,UB
2022,9,15,42,42,42,42
2022,9,22,26,21.5898688949138,-0,43.4964645631619
2022,9,29,11,16.517248737477,-0,35.801586572999
2022,10,6,10,12.5749609579261,-0,32.2245043932257
2022,10,13,0,9.80149346801629,-0,28.2660257059063
2022,10,20,25,7.31931265516329,-0,26.8309199091982
2022,10,27,0,5.5190250842353,-0,24.0059823262894
2022,11,3,9,4.18426953125692,-0,22.5916835438027
2022,11,10,1,3.32983048781689,-0,21.2706702601301
2022,11,17,4,2.47942955719389,-0,20.551664414498
2022,11,24,NaN,2.20129085889003,-0,20.4383076559516
2022,12,1,NaN,1.83947981849689,-0,19.3217209336422
2022,12,8,NaN,1.18144610905164,-0,19.1336757998351
2022,12,15,NaN,1.36800192067266,-0,19.1653289494552
