fcst$mean,lower.10%,lower.20%,lower.30%,lower.40%,lower.50%,lower.60%,lower.70%,lower.80%,lower.90%,fcst$lower.95%,lower.98%,upper.10%,upper.20%,upper.30%,upper.40%,upper.50%,upper.60%,upper.70%,upper.80%,upper.90%,fcst$upper.95%,upper.98%
846,727.466516339253,607.02345341978,482.535988574529,351.344951646475,209.769195658752,52.1178776532885,0,0,0,0,0,964.533483660747,1084.97654658022,1209.46401142547,1340.65504835352,1482.23080434125,1639.88212234671,1823.64398769894,2054.85837496299,2397.55292692694,2694.78934335367,3040.3909134991
846,678.368339811642,508.036126737167,331.98426560757,146.452121922126,0,0,0,0,0,0,0,1013.63166018836,1183.96387326283,1360.01573439243,1545.54787807787,1745.76623229894,1968.71886434826,2228.59738657636,2555.58390886096,3040.22719199976,3460.58296334161,3949.33739101871
846,640.693983901451,432.080479505708,216.46186548829,0,0,0,0,0,0,0,0,1051.30601609855,1259.91952049429,1475.53813451171,1702.76767596874,1947.98407845945,2221.04417112512,2539.32905840881,2939.80412459104,3533.36850006967,4048.19707518046,4646.79655384791
846,608.933032678507,368.04690683956,119.071977149059,0,0,0,0,0,0,0,0,1083.06696732149,1323.95309316044,1572.92802285094,1835.31009670705,2118.4616086825,2433.76424469342,2801.28797539788,3263.71674992598,3949.10585385389,4543.57868670734,5234.78182699819
