fcst$mean,lower.10%,lower.20%,lower.30%,lower.40%,lower.50%,lower.60%,lower.70%,lower.80%,lower.90%,fcst$lower.95%,lower.98%,upper.10%,upper.20%,upper.30%,upper.40%,upper.50%,upper.60%,upper.70%,upper.80%,upper.90%,fcst$upper.95%,upper.98%
1,0.0596353094768597,0,0,0,0,0,0,0,0,0,0,1.94036469052314,2.89587869458372,3.88347825495994,4.9242594336634,6.04742596731572,7.29812516460816,8.75596782901919,10.590266788344,13.3089741640918,15.6670473609052,18.4088170576794
1,0,0,0,0,0,0,0,0,0,0,0,2.3298764989146,3.6811773624945,5.07785405497225,6.54974091335734,8.13813825805203,9.90689402531215,11.9685948931284,14.5626853588524,18.4075182017587,21.7423372977607,25.6197851878423
1,0,0,0,0,0,0,0,0,0,0,0,2.62875942162986,4.28375822400637,5.99433084011066,7.79701672118647,9.74239822283331,11.9086727775294,14.4337303417309,17.6108293355522,22.3197686412596,26.4040712261068,31.1529556435724
1,0,0,0,0,0,0,0,0,0,0,0,2.88072938104628,4.79175738916745,6.76695650991987,8.84851886732679,11.0948519346314,13.5962503292163,16.5119356580384,20.180533576688,25.6179483281836,30.3340947218104,35.8176341153588
