fcst$mean,lower.10%,lower.20%,lower.30%,lower.40%,lower.50%,lower.60%,lower.70%,lower.80%,lower.90%,fcst$lower.95%,lower.98%,upper.10%,upper.20%,upper.30%,upper.40%,upper.50%,upper.60%,upper.70%,upper.80%,upper.90%,fcst$upper.95%,upper.98%
10,7.62791630010404,5.217618235006,2.7263838843313,0.10099812278432,0,0,0,0,0,0,0,12.372083699896,14.782381764994,17.2736161156687,19.8990018772157,22.7322059028402,25.887112939726,29.5645424052438,34.191588386447,41.0495675468625,46.9978417108051,53.9139959136693
10,6.64536706052298,3.23669084749971,0,0,0,0,0,0,0,0,0,13.354632939477,16.7633091525003,20.2864465582742,23.9993027087151,28.0060582667234,32.4677705863136,37.6684412111193,44.2120723914608,53.9107195305925,62.3228495259535,72.1037685991078
10,5.89143051197423,1.71667180183948,0,0,0,0,0,0,0,0,0,14.1085694880258,18.2833281981605,22.59827266709,27.1455741955573,32.0528275161476,37.5172867971904,43.886781472718,51.9010602011194,63.7794285442076,74.0821416135054,86.0612720858473
10,5.25583260020807,0.435236470012006,0,0,0,0,0,0,0,0,0,14.7441673997919,19.564763529988,24.5472322313374,29.7980037544314,35.4644118056804,41.774225879452,49.1290848104875,58.383176772894,72.099135093725,83.9956834216102,97.8279918273386
