year,month,day,data,median,LB,UB
2022,9,15,2206,2206,2206,2206
2022,9,22,1129,1301.88884053129,397.935954299868,2185.40493055388
2022,9,29,1224,948.823897806956,176.946874031272,1722.35262581441
2022,10,6,201,696.30597083668,-0,1462.52825286855
2022,10,13,773,597.317361628641,-0,1384.59307425862
2022,10,20,442,481.963602430838,-0,1260.77212960295
2022,10,27,512,403.785687309282,-0,1201.85678524569
2022,11,3,211,355.860522415087,-0,1101.07300913827
2022,11,10,269,340.518799048454,-0,1127.76400857011
2022,11,17,200,323.481751908517,-0,1256.08072068534
2022,11,24,NaN,298.941473273125,-0,1285.06435678185
2022,12,1,NaN,299.811173932644,-0,1612.44253996668
2022,12,8,NaN,281.919160387873,-0,2462.62926042367
2022,12,15,NaN,265.898256932451,-0,2108.11996085271
