year,month,day,data,median,LB,UB
2022,9,22,26,26,26,26
2022,9,29,11,11.9362533376363,-0,44.5816666559213
2022,10,6,10,9.56591110479641,-0,38.9307895243616
2022,10,13,0,8.47555968676397,-0,37.3334658464996
2022,10,20,25,7.50536227991869,-0,38.6045933316326
2022,10,27,0,6.67357693003597,-0,37.8989258221804
2022,11,3,9,6.06847074768809,-0,34.3275595699226
2022,11,10,1,5.76499500556634,-0,34.2148188292623
2022,11,17,4,5.01263432517611,-0,31.7659235309388
2022,11,24,7,5.24945049825253,-0,42.90781524708
2022,12,1,NaN,4.80582269232649,-0,45.0703829988843
2022,12,8,NaN,4.48116287696259,-0,36.7822352600323
2022,12,15,NaN,3.61215085264111,-0,37.3179404208727
2022,12,22,NaN,3.54367728140189,-0,38.6887751355221
