year,month,day,data,median,LB,UB
2022,9,29,11,11,11,11
2022,10,6,10,10.6872618331944,-0,38.6381564628315
2022,10,13,0,8.7154715822109,-0,35.9022248928835
2022,10,20,25,9.12868658969418,-0,41.6779682637261
2022,10,27,0,8.69700406464706,-0,37.5168978488916
2022,11,3,9,6.54069555614349,-0,35.0460021659843
2022,11,10,1,5.36904282152922,-0,32.2429038931567
2022,11,17,4,4.57180151148873,-0,30.4090995847155
2022,11,24,7,3.85925586132844,-0,30.2873024681357
2022,12,1,3,3.64779820359708,-0,33.2138684455078
2022,12,8,NaN,3.01442305479346,-0,29.7895786843476
2022,12,15,NaN,2.37726465148831,-0,30.404631229674
2022,12,22,NaN,2.02977073995153,-0,28.1690844535341
2022,12,29,NaN,1.69258088749583,-0,29.7319097258779
