year,month,day,data,median,LB,UB
2022,9,29,60,60,60,60
2022,10,6,30,17.869368736867,-0,67.0497329062749
2022,10,13,38,17.7574225895085,-0,67.9889659198167
2022,10,20,40,17.8274304140234,-0,73.2897064628428
2022,10,27,0,21.2960492415702,-0,84.002446222967
2022,11,3,19,25.846286063591,-0,104.130347814863
2022,11,10,56,33.0908187320741,-0,98.5788719073992
2022,11,17,13,23.9595995975083,-0,104.183968977744
2022,11,24,3,19.9992568598166,-0,74.6495066046359
2022,12,1,0,20.3015134985882,-0,77.0626211170577
2022,12,8,NaN,20.5776659319315,-0,78.6629563922817
2022,12,15,NaN,21.0763384446202,-0,79.3711967818981
2022,12,22,NaN,21.2237379005925,-0,79.6404874997924
2022,12,29,NaN,21.6504497333676,-0,82.0405441496747
