year,month,day,data,median,LB,UB
2022,9,29,495,495,495,495
2022,10,6,432,423.384275787445,282.003118318325,576.438937089766
2022,10,13,264,277.886935920744,160.863070596679,397.318213577005
2022,10,20,301,245.894598930839,118.338483399385,371.341308822457
2022,10,27,200,244.157147930909,124.308225636871,369.584898656444
2022,11,3,249,232.404046049484,114.126490940954,350.441807346942
2022,11,10,180,205.620753069425,97.6995014824953,317.899172193819
2022,11,17,221,174.536288761071,63.6557886097896,287.408216135385
2022,11,24,131,141.162673712007,28.0605260194484,252.865967525675
2022,12,1,104,109.691676141487,-0,222.968741418683
2022,12,8,NaN,85.3679998919361,-0,203.433534867026
2022,12,15,NaN,63.1004208371439,-0,183.055762963208
2022,12,22,NaN,49.5340597468399,-0,175.346169778942
2022,12,29,NaN,36.7566897640736,-0,157.762589759495
