year,month,day,data,median,LB,UB
2022,9,29,1224,1224,1224,1224
2022,10,6,201,496.684565692693,-0,1077.73454837119
2022,10,13,773,517.629910162762,-0,1044.23051428593
2022,10,20,442,471.103501805831,-0,1004.63008639863
2022,10,27,512,397.8953308042,-0,901.782784753094
2022,11,3,211,326.127155903837,-0,828.980695954044
2022,11,10,269,244.712317255549,-0,755.555935523313
2022,11,17,200,201.400964648213,-0,718.027904159589
2022,11,24,126,191.863676040602,-0,713.876887323178
2022,12,1,305,268.027337329964,-0,1481.82829685134
2022,12,8,NaN,392.304279914941,-0,4402.04551777908
2022,12,15,NaN,503.753383322022,-0,13539.1335169183
2022,12,22,NaN,584.339962725583,-0,54023.8012128545
2022,12,29,NaN,697.869503233102,-0,222180.085819982
