year,month,day,data,median,LB,UB
2022,9,29,29,29,29,29
2022,10,6,44,46.0386557648179,34.9771018216862,58.3222758048335
2022,10,13,41,36.2324656162643,24.9070024541388,46.6545524602804
2022,10,20,10,13.9580412352425,3.7339682429008,24.0978290258258
2022,10,27,0,4.69391441440547,-0,13.8371584824255
2022,11,3,3,2.56633131377405,-0,11.018569784099
2022,11,10,5,2.00659863798096,-0,11.0504131290323
2022,11,17,2,2.29068920074934,-0,11.6688759886259
2022,11,24,3,2.93363550003323,-0,12.8992422797003
2022,12,1,3,3.58094736838394,-0,13.9378725370517
2022,12,8,NaN,4.15579435255424,-0,16.2732236856166
2022,12,15,NaN,4.66575081556634,-0,19.6065974473855
2022,12,22,NaN,5.20039807035106,-0,24.3908800672908
2022,12,29,NaN,5.78283180735786,-0,32.622243308227
