year,month,day,data,median,LB,UB
2022,9,29,495,495,495,495
2022,10,6,432,346.321992778429,215.095538376367,471.515150462938
2022,10,13,264,322.879118161083,209.647375459885,438.137982384614
2022,10,20,301,289.568833322571,180.265969706833,404.501930462606
2022,10,27,200,256.520720184438,143.464157933751,367.529601182057
2022,11,3,249,219.897611680001,111.979116948264,331.062753206681
2022,11,10,180,187.312220769686,78.7854847865704,295.039090335344
2022,11,17,221,157.298748924989,49.2930417056466,266.796413683205
2022,11,24,131,132.411263052023,22.3350217727358,245.800867084097
2022,12,1,104,108.835085793914,-0,222.901288119978
2022,12,8,NaN,93.3555290878122,-0,204.082775090526
2022,12,15,NaN,75.4616425565424,-0,188.988713281762
2022,12,22,NaN,63.5644875293016,-0,177.020209154958
2022,12,29,NaN,52.2145410188615,-0,165.190945839634
