year,month,day,data,median,LB,UB
2022,9,29,60,60,60,60
2022,10,6,30,32.0976042331879,-0,80.0732124041839
2022,10,13,38,33.2754228523431,-0,74.2153768091454
2022,10,20,40,31.6464802497919,-0,72.4464603951483
2022,10,27,0,27.549393940103,-0,66.876035554579
2022,11,3,19,23.6537801300126,-0,64.2068893329266
2022,11,10,56,18.7417246644123,-0,58.2484919978871
2022,11,17,13,15.6168335442879,-0,55.4233805112286
2022,11,24,3,11.9110178506505,-0,51.1561037509037
2022,12,1,0,10.3470316351343,-0,52.2933220312308
2022,12,8,NaN,8.56026571158637,-0,49.7209216162169
2022,12,15,NaN,7.04635594030033,-0,49.4833208756481
2022,12,22,NaN,5.55418410493187,-0,49.1562017940837
2022,12,29,NaN,5.18723329393127,-0,47.6130309657735
